2024.11.20 01.45.46  ÉçÉOäJén
 ,     useful,   average,          diff 
,+0027360,+0027086,+0000273
,+0027289,+0027089,+0000199
,+0027244,+0027091,+0000153
,+0027165,+0027092,+0000073
,+0027177,+0027092,+0000084
,+0027180,+0027093,+0000086
,+0027265,+0027095,+0000170
,+0027374,+0027099,+0000275
,+0027447,+0027101,+0000345
,+0027365,+0027106,+0000303
,+0027375,+0027108,+0000266
,+0027308,+0027109,+0000198
,+0027255,+0027111,+0000143
,+0027245,+0027112,+0000132
,+0027198,+0027114,+0000084
,+0027228,+0027115,+0000113
,+0027217,+0027116,+0000100
,+0027293,+0027117,+0000175
,+0027339,+0027121,+0000218
,+0027378,+0027123,+0000255
,+0027318,+0027124,+0000194
,+0027309,+0027127,+0000182
,+0027273,+0027128,+0000145
,+0027205,+0027129,+0000076
,+0027173,+0027129,+0000044
,+0027140,+0027105,+0000035
,+0027219,+0027106,+0000112
,+0027231,+0027108,+0000122
,+0027302,+0027109,+0000192
,+0027385,+0027113,+0000272
,+0027443,+0027116,+0000327
,+0027406,+0027118,+0000288
,+0027381,+0027122,+0000258
,+0027352,+0027124,+0000228
,+0027278,+0027126,+0000152
,+0027261,+0027127,+0000133
,+0027200,+0027128,+0000071
,+0027266,+0027129,+0000136
,+0027300,+0027132,+0000167
,+0027379,+0027133,+0000245
,+0027318,+0027137,+0000208
,+0027352,+0027138,+0000213
,+0027311,+0027140,+0000171
,+0027260,+0027141,+0000118
,+0027244,+0027142,+0000101
,+0027219,+0027143,+0000076
,+0027248,+0027144,+0000104
,+0027248,+0027145,+0000102
,+0027311,+0027146,+0000164
,+0027448,+0027151,+0000297
,+0027522,+0027154,+0000368
,+0027472,+0027158,+0000315
,+0027388,+0027160,+0000227
,+0027328,+0027161,+0000167
,+0027203,+0027162,+0000041
,+0027165,+0027162,+0000003
,+0027159,+0027118,+0000041
,+0027214,+0027119,+0000094
,+0027243,+0027120,+0000122
,+0027312,+0027122,+0000189
,+0027411,+0027126,+0000285
,+0027472,+0027129,+0000343
,+0027426,+0027131,+0000294
,+0027419,+0027135,+0000283
,+0027366,+0027137,+0000228
,+0027304,+0027140,+0000164
,+0027282,+0027141,+0000141
,+0027241,+0027142,+0000099
,+0027289,+0027143,+0000146
,+0027301,+0027145,+0000155
,+0027369,+0027147,+0000222
,+0027364,+0027150,+0000213
,+0027422,+0027153,+0000269
,+0027391,+0027154,+0000236
,+0027378,+0027158,+0000220
,+0027344,+0027159,+0000184
,+0027302,+0027161,+0000140
,+0027300,+0027162,+0000137
,+0027262,+0027164,+0000098
,+0027346,+0027165,+0000181
,+0027340,+0027168,+0000172
,+0027409,+0027169,+0000240
,+0027343,+0027172,+0000202
,+0027385,+0027174,+0000211
,+0027359,+0027175,+0000184
,+0027305,+0027177,+0000128
,+0027283,+0027178,+0000105
,+0027271,+0027179,+0000091
,+0027302,+0027180,+0000121
,+0027273,+0027182,+0000091
,+0027350,+0027183,+0000167
,+0027458,+0027187,+0000270
,+0027539,+0027189,+0000349
,+0027500,+0027194,+0000308
,+0027485,+0027196,+0000288
,+0027441,+0027198,+0000242
,+0027312,+0027200,+0000111
,+0027273,+0027201,+0000072
,+0027234,+0027201,+0000032
,+0027284,+0027202,+0000082
,+0027292,+0027203,+0000089
,+0027399,+0027204,+0000194
,+0027472,+0027208,+0000263
,+0027555,+0027211,+0000343
,+0027519,+0027213,+0000305
,+0027444,+0027217,+0000227
,+0027397,+0027218,+0000178
,+0027348,+0027220,+0000127
